word,meaning
toma,alcohol drinking
kano,American
KSP,attention seeker
bangka,banker
tapsi,beef tapa meal
bangko,bench warmer
supalpal,blocked shot
padulas,bribe
tong,bribe
basted,broken-hearted
akyat-bahay,burglar
tsikot,car
buking,caught in the act
onse,cheat
yosi,cigarette
buwaya,corrupt
pakipot,coy
dede,dead
deds,dead
pendeho,derogatory term
hipon,derogatory
tsekwa,derogatory
suput,derogatory
atik,distract
asocena,dog meat dish
iskor,drug acquisition
tulak,drug dealer
batak,drug use
durugista,drug user
bangag,drugged
sabog,drugged
senglot,drunk
marupok,easily seduced
tsibog,eat
dyahe,embarrassed
hugot,emotional catharsis
kiyeme,expression
ebak,feces
dedma,feigning ignorance
entremetida,female busybody
echosera,female joker
bulilyaso,foiled
shunga,foolish
gradweyt,fouled out
luto,game fixing
rambol,gang fight
badap,gay
gets,get it
tsika,gossip
suwapang,greedy
pogi,handsome
hapi-hapi,having fun
laplap,heavy kissing
jeproks,hippie
tambay,idler
plastikan,insincere
kakosa,jailmate
kenkoy,joker
tuta,lackey
t-bird,lesbian
tibo,lesbian
berde,lewd
motel,love hotel
LQ,lover’s quarrel
damo,marijuana
tsongki,marijuana
bati,masturbation
jakol,masturbation
yorme,mayor
shabu,methamphetamine
kabit,mistress
kerida,mistress
datung,money
gimik,night out
wa epek,useless
tsupa,oral sex
tongpats,corruption
praning,paranoid
boso,peeping
tarugo,penis
manyak,pervert
betamax,pig blood cubes
pabling,playboy
tsikboy,playboy
lespu,police officer
loyalista,political supporter
balimbing,political turncoat
sosyal,posh
tipo,preference
trip,preference
mayor,prison leader
oblo,prison slang
promdi,provincial
umbag,punch
resbak,retaliation
solb,satisfied
goyo,scam
budol,scam
pakulo,scheme
sikyu,security guard
pokpok,sex worker
brotsa,sexual act
tira,sexual intercourse
mokong,shabby person
baduy,shabby
korni,silly
intriga,slanderous gossip
logtu,sleep
dekwat,stealing
turo-turo,street food stall
lamyerda,stroll
betlog,testicles
pitik,theft
kumanta,to squeal
trono,toilet seat
barako,tough guy
TNT,undocumented immigrant
putok,unpleasant body odor
pulpol,useless
pekpek,vagina
sisiw,very easy
komander,wife
misis,wife
intrigera,woman who spreads gossip
laspag,worn out
awit ,disappointment
